team,region,matchType,Baron,Dra,Turts,kills,deaths,assists,CS,gold,damage,tanking,matches_played,matches_won,minutes_played,matches_lose,win_rate,Baron_per_game,Dra_per_game,Turts_per_game,kills_per_game,deaths_per_game,assists_per_game,CS_per_minute,gold_per_minute,damage_per_game,tanking_per_game,KDA
WBG,CN,2020 LPL 公开训练赛,4,13,42,75,66,184,6042,331046,338831.0,467544.0,6,4,187.5,2,0.6667,0.67,2.17,7.0,12.5,11.0,30.67,32.22,1765.58,56471.83,77924.0,3.924
G2,EU,2018 LCS欧洲S8资格赛,4,12,35,48,32,130,4786,255099,260542.0,347923.0,4,3,136.3,1,0.75,1.0,3.0,8.75,12.0,8.0,32.5,35.11,1871.6,65135.5,86980.75,5.563
G2,EU,2019 S9全球总决赛,10,37,124,242,259,471,19151,1064673,983356.0,1439536.0,18,11,579.8,7,0.6111,0.56,2.06,6.89,13.44,14.39,26.17,33.03,1836.28,54630.89,79974.22,2.753
AL,CN,2018 LPL S8资格赛,3,4,15,37,59,93,4724,233430,224279.0,376502.0,4,1,137.7,3,0.25,0.75,1.0,3.75,9.25,14.75,23.25,34.31,1695.21,56069.75,94125.5,2.203
LD,CN,NEST2017全国电子竞技大赛,0,2,2,6,44,12,1646,89644,106908.0,182558.0,2,0,58.0,2,0.0,0.0,1.0,1.0,3.0,22.0,6.0,28.38,1545.59,53454.0,91279.0,0.409
MCX,TW,2018 LMS S8资格赛,3,6,15,38,56,73,5339,259291,243127.0,362064.0,5,1,157.3,4,0.2,0.6,1.2,3.0,7.6,11.2,14.6,33.94,1648.39,48625.4,72412.8,1.982
EG,US,2022全球总决赛,2,8,19,53,96,113,5318,286428,332071.2,535538.5,6,1,184.9,5,0.1667,0.33,1.33,3.17,8.83,16.0,18.83,28.76,1549.1,55345.2,89256.42,1.729
TM,AU,2017 OPL 春季赛,12,26,115,307,402,646,21472,1271863,1477224.0,2195778.0,22,7,728.6,15,0.3182,0.55,1.18,5.23,13.95,18.27,29.36,29.47,1745.63,67146.55,99808.09,2.371
FW,TW,2017 IEM 卡托维兹站,10,20,80,109,60,255,10638,626802,686499.0,834956.0,8,7,339.0,1,0.875,1.25,2.5,10.0,13.63,7.5,31.88,31.38,1848.97,85812.38,104369.5,6.067
Tyloo,CN,德玛西亚杯长沙站,0,3,5,7,23,10,1817,91771,54881.0,141819.0,2,0,58.4,2,0.0,0.0,1.5,2.5,3.5,11.5,5.0,31.11,1571.42,27440.5,70909.5,0.739
MDK,EU,2017 LCS EU S7资格赛,1,0,9,42,59,122,3460,193354,291312.0,358554.0,3,0,110.8,3,0.0,0.33,0.0,3.0,14.0,19.67,40.67,31.23,1745.07,97104.0,119518.0,2.78
