player_name,team,region,matchType,position,kills,deaths,assists,CS,gold,damage,tanking,matches_played,matches_won,minutes_played,matches_lose,win_rate,kills_per_game,deaths_per_game,assists_per_game,CS_per_minute,gold_per_minute,damage_per_game,tanking_per_game,KDA
Add,MVP,KR,2017 LCK 韩国夏季赛,TOP,25,73,90,6031,274254,344081.0,680975.0,21,6,782.1,15,0.2857,1.19,3.48,4.29,7.71,350.66,16384.81,32427.38,1.575
Crazy,BBQ,KR,2017 LCK 韩国夏季赛,TOP,40,43,62,5670,248239,258200.0,412371.0,20,5,674.4,15,0.25,2.0,2.15,3.1,8.41,368.09,12910.0,20618.55,2.372
Cuvee,GEN,KR,2017 LCK 韩国夏季赛,TOP,54,49,81,8257,366191,365190.0,701413.0,26,16,945.6,10,0.6154,2.08,1.88,3.12,8.73,387.26,14045.77,26977.42,2.755
Helper,EEW,KR,2017 LCK 韩国夏季赛,TOP,14,39,75,3404,165910,165579.0,301361.0,13,5,485.6,8,0.3846,1.08,3.0,5.77,7.01,341.66,12736.85,23181.62,2.282
Huni,T1,KR,2017 LCK 韩国夏季赛,TOP,24,33,33,2950,131025,173118.0,242889.0,9,4,331.1,5,0.4444,2.67,3.67,3.67,8.91,395.73,19235.33,26987.67,1.727
Ikssu,JAG,KR,2017 LCK 韩国夏季赛,TOP,18,24,47,3126,138371,143123.0,266210.0,10,6,368.6,4,0.6,1.8,2.4,4.7,8.48,375.4,14312.3,26621.0,2.708
Khan,DRX,KR,2017 LCK 韩国夏季赛,TOP,85,59,162,7814,369626,454964.0,597626.0,26,21,890.9,5,0.8077,3.27,2.27,6.23,8.77,414.89,17498.62,22985.62,4.186
Kiin,EEW,KR,2017 LCK 韩国夏季赛,TOP,2,11,16,1679,66330,61950.0,150898.0,6,0,202.7,6,0.0,0.33,1.83,2.67,8.28,327.23,10325.0,25149.67,1.636
Lindarang,HLE,KR,2017 LCK 韩国夏季赛,TOP,20,45,58,4566,203403,218166.0,458424.0,15,5,577.9,10,0.3333,1.33,3.0,3.87,7.9,351.97,14544.4,30561.6,1.733
Marin,KDF,KR,2017 LCK 韩国夏季赛,TOP,40,53,112,7821,345396,339758.0,627489.0,23,15,867.3,8,0.6522,1.74,2.3,4.87,9.02,398.24,14772.09,27282.13,2.868
Shy,HLE,KR,2017 LCK 韩国夏季赛,TOP,3,23,17,1853,76155,57386.0,162555.0,6,1,213.3,5,0.1667,0.5,3.83,2.83,8.69,357.03,9564.33,27092.5,0.87
Smeb,KT,KR,2017 LCK 韩国夏季赛,TOP,94,62,172,9088,415125,477754.0,711862.0,29,18,1025.6,11,0.6207,3.24,2.14,5.93,8.86,404.76,16474.28,24546.97,4.29
Sohwan,JAG,KR,2017 LCK 韩国夏季赛,TOP,28,17,77,3963,180266,209663.0,330450.0,11,8,440.3,3,0.7273,2.55,1.55,7.0,9.0,409.42,19060.27,30040.91,6.176
Untara,T1,KR,2017 LCK 韩国夏季赛,TOP,35,26,85,4825,220180,217622.0,313919.0,15,14,531.2,1,0.9333,2.33,1.73,5.67,9.08,414.5,14508.13,20927.93,4.615
Add,MVP,KR,2017 LCK 韩国春季赛,TOP,46,76,112,6802,317023,388292.0,692372.0,25,11,883.1,14,0.44,1.84,3.04,4.48,7.7,358.99,15531.68,27694.88,2.079
Crazy,BBQ,KR,2017 LCK 韩国春季赛,TOP,51,28,99,5787,262132,282015.0,486974.0,19,7,714.8,12,0.3684,2.68,1.47,5.21,8.1,366.72,14842.89,25630.21,5.357
Cuvee,GEN,KR,2017 LCK 韩国春季赛,TOP,27,54,153,7199,336764,333045.0,688138.0,25,17,898.9,8,0.68,1.08,2.16,6.12,8.01,374.64,13321.8,27525.52,3.333
Expession,DRX,KR,2017 LCK 韩国春季赛,TOP,43,57,131,7054,331573,357644.0,657852.0,24,11,896.8,13,0.4583,1.79,2.38,5.46,7.87,369.73,14901.83,27410.5,3.053
Huni,T1,KR,2017 LCK 韩国春季赛,TOP,38,31,91,5386,241002,280437.0,429374.0,16,12,571.3,4,0.75,2.38,1.94,5.69,9.43,421.85,17527.31,26835.88,4.161
Ikssu,JAG,KR,2017 LCK 韩国春季赛,TOP,23,41,95,4890,219504,210275.0,537124.0,16,5,632.8,11,0.3125,1.44,2.56,5.94,7.73,346.88,13142.19,33570.25,2.878
Lindarang,HLE,KR,2017 LCK 韩国春季赛,TOP,20,33,75,3536,167059,170984.0,404990.0,12,4,488.7,8,0.3333,1.67,2.75,6.25,7.24,341.84,14248.67,33749.17,2.879
Marin,KDF,KR,2017 LCK 韩国春季赛,TOP,64,60,148,8412,374589,407513.0,672404.0,25,15,932.6,10,0.6,2.56,2.4,5.92,9.02,401.66,16300.52,26896.16,3.533
Profit,T1,KR,2017 LCK 韩国春季赛,TOP,8,4,45,1561,70114,80159.0,83334.0,5,5,177.6,0,1.0,1.6,0.8,9.0,8.79,394.79,16031.8,16666.8,10.6
Roach,KDM,KR,2017 LCK 韩国春季赛,TOP,17,59,78,6513,282284,275184.0,685344.0,21,5,821.8,16,0.2381,0.81,2.81,3.71,7.93,343.49,13104.0,32635.43,1.61
Shy,HLE,KR,2017 LCK 韩国春季赛,TOP,19,22,73,3196,146077,142411.0,290326.0,11,7,373.6,4,0.6364,1.73,2.0,6.64,8.55,391.0,12946.45,26393.27,4.182
Smeb,KT,KR,2017 LCK 韩国春季赛,TOP,57,64,146,7997,362295,499033.0,634237.0,25,16,930.2,9,0.64,2.28,2.56,5.84,8.6,389.48,19961.32,25369.48,3.172
Sohwan,JAG,KR,2017 LCK 韩国春季赛,TOP,6,3,16,1159,53544,66396.0,63395.0,4,3,140.0,1,0.75,1.5,0.75,4.0,8.28,382.46,16599.0,15848.75,5.5
Boss,JSA,RU,2017 LCL 独联体 春季赛,TOP,18,9,45,2635,113176,108679.0,206965.0,7,5,273.2,2,0.7143,2.57,1.29,6.43,9.64,414.26,15525.57,29566.43,7.0
Charger,RoX,RU,2017 LCL 独联体 春季赛,TOP,21,15,32,2087,103562,134166.0,280258.0,7,2,302.5,5,0.2857,3.0,2.14,4.57,6.9,342.35,19166.57,40036.86,3.533
Dark Solece,VS,RU,2017 LCL 独联体 春季赛,TOP,18,17,37,1498,77780,80570.0,162523.0,6,5,207.4,1,0.8333,3.0,2.83,6.17,7.22,375.02,13428.33,27087.17,3.235
Doxy,VP,RU,2017 LCL 独联体 春季赛,TOP,12,9,38,1678,80921,84133.0,131287.0,6,3,220.1,3,0.5,2.0,1.5,6.33,7.62,367.66,14022.17,21881.17,5.556
Firees,GMB,RU,2017 LCL 独联体 春季赛,TOP,9,13,41,1885,87268,91423.0,146312.0,6,3,243.1,3,0.5,1.5,2.17,6.83,7.75,358.98,15237.17,24385.33,3.846
Nonholy,VEG,RU,2017 LCL 独联体 春季赛,TOP,10,8,18,1294,59168,86952.0,151689.0,4,3,152.4,1,0.75,2.5,2.0,4.5,8.49,388.24,21738.0,37922.25,3.5
Smurf,M19,RU,2017 LCL 独联体 春季赛,TOP,13,8,30,1883,87236,98647.0,151573.0,5,5,214.5,0,1.0,2.6,1.6,6.0,8.78,406.69,19729.4,30314.6,5.375
Zvene,NAVI,RU,2017 LCL 独联体 春季赛,TOP,16,23,22,1644,72281,111017.0,123279.0,6,1,215.5,5,0.1667,2.67,3.83,3.67,7.63,335.41,18502.83,20546.5,1.652
Odoamne,H2K,EU,2017 LCS EU S7资格赛,TOP,13,8,25,899,46402,72511.0,95161.0,3,3,110.8,0,1.0,4.33,2.67,8.33,8.11,418.79,24170.33,31720.33,4.75
Soaz,FNC,EU,2017 LCS EU S7资格赛,TOP,5,4,19,699,34433,40632.0,80957.0,3,3,97.8,0,1.0,1.67,1.33,6.33,7.15,352.08,13544.0,26985.67,6.0
Vizicsacsi,UOL,RU,2017 LCS EU S7资格赛,TOP,8,22,21,1285,58492,68159.0,163551.0,5,2,164.8,3,0.4,1.6,4.4,4.2,7.8,354.93,13631.8,32710.2,1.318
Darshan,CLG,US,2017 LCS NA S7资格赛,TOP,17,6,28,902,49059,57311.0,109756.0,4,3,127.4,1,0.75,4.25,1.5,7.0,7.08,385.08,14327.75,27439.0,7.5
Impact,C9,US,2017 LCS NA S7资格赛,TOP,2,9,35,1149,55227,63102.0,126213.0,4,3,160.7,1,0.75,0.5,2.25,8.75,7.15,343.67,15775.5,31553.25,4.111
Ssumday,DIG,US,2017 LCS NA S7资格赛,TOP,7,5,6,812,34638,47371.0,65911.0,3,0,93.5,3,0.0,2.33,1.67,2.0,8.68,370.46,15790.33,21970.33,2.6
Balls,FLY,US,2017 LCS 北美夏季赛,TOP,34,72,104,5625,258512,255010.0,592380.0,20,8,733.7,12,0.4,1.7,3.6,5.2,7.67,352.34,12750.5,29619.0,1.917
Brandini,FOX,US,2017 LCS 北美夏季赛,TOP,14,35,25,1904,89675,109213.0,193373.0,9,2,274.0,7,0.2222,1.56,3.89,2.78,6.95,327.28,12134.78,21485.89,1.114
Darshan,CLG,US,2017 LCS 北美夏季赛,TOP,84,54,152,7152,352330,394302.0,685299.0,28,16,951.4,12,0.5714,3.0,1.93,5.43,7.52,370.33,14082.21,24474.96,4.37
Flame,IMT,US,2017 LCS 北美夏季赛,TOP,95,49,174,8604,405259,448544.0,759399.0,29,20,1038.7,9,0.6897,3.28,1.69,6.0,8.28,390.16,15467.03,26186.17,5.49
Hauntzer,TSM,US,2017 LCS 北美夏季赛,TOP,54,63,186,7822,364549,432789.0,743700.0,25,21,925.5,4,0.84,2.16,2.52,7.44,8.45,393.89,17311.56,29748.0,3.81
Impact,C9,US,2017 LCS 北美夏季赛,TOP,25,44,117,4707,228948,230025.0,434259.0,19,11,626.1,8,0.5789,1.32,2.32,6.16,7.52,365.67,12106.58,22855.74,3.227
