Team1_name,Team1_region,Team2_name,Team2_region,matchType,matches_played,minutes_played,Team1_player1_name,Team1_player1_position,Team1_player1_kills,Team1_player1_deaths,Team1_player1_assists,Team1_player1_CS,Team1_player1_gold,Team1_player1_damage,Team1_player1_tanking,Team1_player2_name,Team1_player2_position,Team1_player2_kills,Team1_player2_deaths,Team1_player2_assists,Team1_player2_CS,Team1_player2_gold,Team1_player2_damage,Team1_player2_tanking,Team1_player3_name,Team1_player3_position,Team1_player3_kills,Team1_player3_deaths,Team1_player3_assists,Team1_player3_CS,Team1_player3_gold,Team1_player3_damage,Team1_player3_tanking,Team1_player4_name,Team1_player4_position,Team1_player4_kills,Team1_player4_deaths,Team1_player4_assists,Team1_player4_CS,Team1_player4_gold,Team1_player4_damage,Team1_player4_tanking,Team1_player5_name,Team1_player5_position,Team1_player5_kills,Team1_player5_deaths,Team1_player5_assists,Team1_player5_CS,Team1_player5_gold,Team1_player5_damage,Team1_player5_tanking,Team2_player1_name,Team2_player1_position,Team2_player1_kills,Team2_player1_deaths,Team2_player1_assists,Team2_player1_CS,Team2_player1_gold,Team2_player1_damage,Team2_player1_tanking,Team2_player2_name,Team2_player2_position,Team2_player2_kills,Team2_player2_deaths,Team2_player2_assists,Team2_player2_CS,Team2_player2_gold,Team2_player2_damage,Team2_player2_tanking,Team2_player3_name,Team2_player3_position,Team2_player3_kills,Team2_player3_deaths,Team2_player3_assists,Team2_player3_CS,Team2_player3_gold,Team2_player3_damage,Team2_player3_tanking,Team2_player4_name,Team2_player4_position,Team2_player4_kills,Team2_player4_deaths,Team2_player4_assists,Team2_player4_CS,Team2_player4_gold,Team2_player4_damage,Team2_player4_tanking,Team2_player5_name,Team2_player5_position,Team2_player5_kills,Team2_player5_deaths,Team2_player5_assists,Team2_player5_CS,Team2_player5_gold,Team2_player5_damage,Team2_player5_tanking
EDG,CN,TES,CN,2020 LPL 春季赛,3,89.5,Jinoo,TOP,6,7,11,654,30585,33088.0,52936.0,Jiejie,JUG,4,6,13,477,28137,15593.0,58762.0,Scout,MID,7,5,6,718,33641,26522.0,36941.0,Hope,ADC,8,3,11,726,33088,37077.0,22484.0,Meiko,SUP,1,10,11,113,19228,7639.0,33693.0,369,TOP,5,6,12,732,32993,34862.0,54880.0,Karsa,JUG,9,5,18,440,28620,19647.0,61479.0,Knight,MID,10,5,15,794,36356,38985.0,24053.0,Photic,ADC,7,5,17,710,35604,29759.0,20681.0,Qiuqiu,SUP,0,5,24,93,20277,10100.0,28699.0
FPX,CN,WBG,CN,2020 LPL 春季赛,2,48.2,Gimgoon,TOP,11,1,16,373,20483,16324.0,27740.0,Tian,JUG,6,3,24,228,15710,17171.0,27221.0,Doinb,MID,14,1,23,442,25212,27630.0,24847.0,Lwx,ADC,13,4,28,282,20857,30021.0,15537.0,Crisp,SUP,2,2,33,142,14857,10642.0,23427.0,Biubiu,TOP,1,9,2,309,13968,17089.0,32213.0,Sofm,JUG,2,6,6,261,13934,14949.0,30655.0,Angel,MID,2,10,6,314,14342,17107.0,28573.0,Huanfeng,ADC,5,8,3,413,19969,18642.0,18747.0,Swordart,SUP,1,13,8,58,10367,8602.0,24379.0
WBG,CN,WE,CN,2020 LPL 春季赛,3,97.6,Biubiu,TOP,13,14,18,815,40904,42052.0,94974.0,Sofm,JUG,5,11,27,530,31220,26501.0,91501.0,Angel,MID,14,10,19,761,38526,78614.0,49828.0,Huanfeng,ADC,13,11,23,903,41320,73752.0,35983.0,Swordart,SUP,1,12,36,112,22410,16569.0,47642.0,Morgan,TOP,4,12,37,630,31765,35474.0,75595.0,Beishang,JUG,13,10,30,515,34473,38028.0,82882.0,Teacherma,MID,19,6,30,677,39935,60193.0,63972.0,Jiumeng,ADC,18,9,26,876,44319,76117.0,44277.0,Missing,SUP,4,9,42,139,25032,23796.0,48800.0
EDG,CN,JDG,CN,2020 LPL 春季赛,3,105.9,Aodi,TOP,12,2,18,779,41126,37181.0,66635.0,Junjia,JUG,6,9,27,494,32460,25007.0,89187.0,Scout,MID,11,4,20,1063,47240,56165.0,60923.0,Hope,ADC,12,3,14,1045,46041,40723.0,21870.0,Meiko,SUP,0,6,29,88,22789,13700.0,39753.0,705,TOP,6,14,11,663,34603,52987.0,69436.0,Kanavi,JUG,3,7,17,503,31107,21940.0,75693.0,Yagao,MID,7,5,10,935,41281,48159.0,36171.0,Loken,ADC,8,8,9,1112,47350,48896.0,27633.0,Lvmao,SUP,0,7,19,101,22494,12767.0,32812.0
FPX,CN,TES,CN,2020 LPL 春季赛,2,85.7,Gimgoon,TOP,7,9,9,634,31620,23249.0,61912.0,Tian,JUG,4,9,8,411,24704,17411.0,63867.0,Doinb,MID,8,5,13,674,32788,54572.0,39470.0,Lwx,ADC,5,5,16,770,36070,57627.0,24551.0,Crisp,SUP,1,6,17,66,17859,7852.0,33685.0,369,TOP,7,4,14,575,31020,29288.0,60864.0,Karsa,JUG,3,5,21,410,26575,23581.0,55918.0,Knight,MID,13,5,13,749,37638,41750.0,46564.0,Jackeylove,ADC,10,3,13,877,40452,46862.0,29902.0,Yuyanjia,SUP,1,8,23,81,19684,9416.0,35247.0
JDG,CN,UP,CN,2020 LPL 春季赛,2,65.5,Zoom,TOP,8,8,20,430,26497,38126.0,57533.0,Kanavi,JUG,16,7,15,413,27441,36533.0,63531.0,Yagao,MID,9,3,16,525,26881,46233.0,29523.0,Loken,ADC,7,3,17,623,29410,30288.0,26243.0,Lvmao,SUP,0,4,31,62,16154,10633.0,29336.0,Xiaobai,TOP,7,13,12,400,22102,22304.0,59808.0,Wei,JUG,4,7,11,303,19866,19216.0,62085.0,Cryin,MID,8,7,11,489,24345,39962.0,35473.0,Wink,ADC,3,5,14,597,25473,47306.0,24485.0,Shiauc,SUP,3,8,16,50,14844,18501.0,25508.0
TES,CN,TT,CN,2020 LPL 春季赛,2,67.2,369,TOP,9,1,10,618,29554,35384.0,56732.0,Karsa,JUG,3,3,15,341,21708,11921.0,51414.0,Knight,MID,6,4,16,560,26402,36278.0,23271.0,Photic,ADC,9,1,10,658,32059,39812.0,26967.0,Qiuqiu,SUP,1,0,24,72,16698,8702.0,24653.0,Melody,TOP,1,5,4,577,24428,27969.0,46716.0,Bless,JUG,1,10,7,275,16658,7757.0,47667.0,Xiye,MID,4,6,5,548,24026,32474.0,30302.0,Gala,ADC,3,4,3,607,25333,42925.0,28145.0,Mark,SUP,0,3,6,75,13364,9750.0,27663.0
TES,CN,UP,CN,2020 LPL 春季赛,2,64.0,369,TOP,4,4,13,508,24497,29448.0,49643.0,Karsa,JUG,5,4,29,322,22855,11539.0,63011.0,Knight,MID,15,5,12,592,29806,45494.0,28899.0,Jackeylove,ADC,18,6,14,585,31688,61477.0,35915.0,Qiuqiu,SUP,2,2,31,40,16596,13436.0,17633.0,Xiaobai,TOP,2,8,6,498,21870,15489.0,46152.0,Wei,JUG,3,12,11,249,17677,16118.0,68692.0,Cryin,MID,10,5,9,601,28132,41266.0,31987.0,Wink,ADC,4,6,10,656,28717,39809.0,30501.0,Shiauc,SUP,2,13,13,60,15416,6282.0,34504.0
NIP,CN,RA,CN,2020 LPL 春季赛,2,64.8,Aliez,TOP,2,11,7,440,20007,18460.0,49893.0,Xiaohan,JUG,7,6,9,340,21665,25410.0,52133.0,Mole,MID,3,9,12,474,23091,29269.0,36766.0,Y4,ADC,3,9,10,99,15320,11323.0,32913.0,Clx,SUP,6,5,9,539,25661,36946.0,51961.0,Cube,TOP,14,3,16,606,29876,46683.0,44753.0,Aix,JUG,5,4,19,355,21959,21307.0,66965.0,Forge,MID,6,7,11,590,26010,37997.0,38736.0,Iboy,ADC,10,2,18,402,26385,49610.0,18302.0,Hang,SUP,5,5,19,204,18752,12726.0,28487.0
EDG,CN,IG,CN,2020 LPL 春季赛,2,60.7,Jinoo,TOP,3,7,9,410,20013,21725.0,37109.0,Jiejie,JUG,3,3,9,261,17248,11758.0,44393.0,Scout,MID,7,6,9,470,24062,26136.0,32429.0,Hope,ADC,6,4,8,556,25297,21147.0,19063.0,Meiko,SUP,2,10,10,57,12986,6573.0,25447.0,Theshy,TOP,6,6,11,482,25127,34089.0,50630.0,Leyan,JUG,5,5,14,301,19820,11045.0,52912.0,Rookie,MID,8,3,14,500,23576,39509.0,14939.0,Puff,ADC,8,3,10,606,27916,25407.0,11004.0,Southwind,SUP,3,4,14,75,15390,8229.0,15987.0
